Protein,Priority Fun_GO
YJL001W,0.143518519
YKL101W,0.143518519
YPR165W,0.143518519
YOR367W,0.143518519
YLR243W,0.143518519
YNL214W,0.143518519
YPL135W,0.143518519
YBR171W,0.143518519
YDL064W,0.143518519
YCR027C,0.143518519
YMR026C,0.143518519
YLR409C,0.143518519
YDL212W,0.143518519
YOL006C,0.143518519
YNL330C,0.143518519
YPL214C,0.143518519
YPL016W,0.143518519
YMR124W,0.143518519
YKL061W,0.143518519
YMR297W,0.143518519
YHR008C,0.143518519
YDR002W,0.143518519
YGL153W,0.143518519
YGL037C,0.143518519
YDR389W,0.143518519
YMR078C,0.143518519
YML022W,0.143518519
YGL151W,0.143518519
YDL150W,0.143518519
YOR220W,0.143518519
YDR515W,0.143518519
YGR239C,0.143518519
YAL012W,0.143518519
YMR307W,0.143518519
YER116C,0.143518519
YGR024C,0.143518519
YCR035C,0.143518519
YKR082W,0.143518519
YMR120C,0.143518519
YLR223C,0.143518519
YKL057C,0.143518519
YER049W,0.143518519
YKL022C,0.143518519
YNR058W,0.143518519
YPL267W,0.143518519
YGR116W,0.143518519
YBR121C,0.143518519
YHR113W,0.143518519
YGR117C,0.143518519
YGR264C,0.143518519
YFR008W,0.143518519
YDL070W,0.143518519
YIL112W,0.143518519
YFL042C,0.143518519
YDR363W-A,0.143518519
YGR296W,0.143518519
YDR490C,0.143518519
YKR001C,0.143518519
YPL037C,0.143518519
YJL195C,0.143518519
YHR164C,0.143518519
YJL039C,0.143518519
YOL051W,0.143518519
YIL154C,0.143518519
YJR141W,0.143518519
YER002W,0.143518519
YNL260C,0.143518519
YAL011W,0.143518519
YBR187W,0.143518519
YML042W,0.143518519
YNL248C,0.143518519
YLL048C,0.143518519
YGR227W,0.143518519
YOR188W,0.143518519
YIL078W,0.143518519
YLL001W,0.143518519
YLR027C,0.143518519
YOR204W,0.143518519
YMR223W,0.143518519
YGR158C,0.143518519
YMR311C,0.143518519
YJL196C,0.143518519
YKL218C,0.143518519
YHR191C,0.143518519
YBR183W,0.143518519
YPR082C,0.143518519
YJR117W,0.143518519
YER031C,0.143518519
YHR011W,0.143518519
YPR137C-B,0.143518519
YFL002C,0.143518519
YDR449C,0.143518519
YKL012W,0.143518519
YEL032W,0.143518519
YLR117C,0.143518519
YGL099W,0.143518519
YJL004C,0.143518519
YBR211C,0.143518519
